step,id,x,y,z
1,46,0.48978,0.486072,0.492195
1,47,0.503198,0.497325,0.495223
1,48,0.502973,0.500792,0.504829
1,49,0.49866,0.503936,0.499796
1,50,0.498156,0.510495,0.503871
1,51,0.501062,0.509688,0.502012
1,52,0.506499,0.496661,0.501041
1,53,0.489971,0.5099,0.502322
1,54,0.50097,0.502235,0.499563
1,55,0.499881,0.512408,0.498623
1,56,0.500676,0.49537,0.501329
1,57,0.511736,0.508078,0.507838
1,58,0.496619,0.498396,0.5015
1,59,0.498965,0.50749,0.491435
1,60,0.49897,0.505736,0.499329
1,61,0.503824,0.503215,0.504788
1,62,0.500385,0.499857,0.502897
1,63,0.506554,0.495763,0.498823
1,64,0.501181,0.499614,0.496069
1,65,0.499875,0.498544,0.506958
1,66,0.491082,0.485869,0.495433
1,67,0.495373,0.49325,0.494436
1,68,0.497253,0.506062,0.5069
1,69,0.499988,0.483309,0.496128
1,70,0.500505,0.500441,0.497273
1,71,0.499737,0.51184,0.499712
1,72,0.490703,0.495799,0.504194
1,73,0.498913,0.500458,0.501351
1,74,0.492789,0.499158,0.500394
1,75,0.498765,0.502602,0.499271
1,76,0.498291,0.495123,0.505447
1,77,0.490634,0.511751,0.494675
1,78,0.508586,0.498675,0.503653
1,79,0.50021,0.503291,0.49962
1,80,0.493749,0.500639,0.500346
1,81,0.500889,0.497891,0.498739
1,82,0.495334,0.494583,0.502248
1,83,0.507493,0.505388,0.498799
1,84,0.49912,0.502174,0.497124
1,85,0.499223,0.500148,0.495655
1,86,0.500175,0.503092,0.495189
1,87,0.50275,0.492563,0.498898
1,88,0.503692,0.500777,0.500642
1,89,0.49808,0.491216,0.497372
1,90,0.509095,0.506014,0.500606
1,91,0.481789,0.496754,0.509223
1,92,0.49919,0.460425,0.537177
1,93,0.499348,0.499393,0.499277
1,94,0.592848,0.512009,0.522601
1,95,0.510373,0.505166,0.497598
1,96,0.501965,0.499646,0.501152
1,97,0.492901,0.504896,0.499775
1,98,0.516078,0.492827,0.498721
1,99,0.505186,0.49774,0.501883
2,0,0.500714,0.513722,0.519422
2,1,0.499685,0.491767,0.498466
2,2,0.507833,0.498132,0.502861
2,3,0.501102,0.501129,0.50022
2,4,0.507332,0.503906,0.501683
2,5,0.481938,0.53707,0.538533
2,6,0.497196,0.495031,0.499193
2,7,0.501792,0.501553,0.500647
2,8,0.498015,0.506156,0.496499
2,9,0.493013,0.486339,0.489283
2,10,0.499526,0.515751,0.495552
2,11,0.495896,0.497313,0.496144
2,12,0.495964,0.510377,0.505266
2,13,0.502666,0.497193,0.500465
2,14,0.530458,0.53455,0.512503
2,15,0.495009,0.506609,0.474213
2,16,0.493457,0.493118,0.499385
2,17,0.500115,0.49799,0.502405
2,18,0.491732,0.502211,0.500241
2,19,0.497541,0.500997,0.49715
2,20,0.495346,0.495261,0.49294
2,21,0.493644,0.49588,0.50624
2,22,0.504348,0.494298,0.500411
2,23,0.495706,0.505289,0.497175
2,24,0.488624,0.498359,0.488203
2,25,0.501185,0.493358,0.498953
2,26,0.498317,0.501764,0.496872
2,27,0.494013,0.476795,0.513038
2,28,0.499477,0.500139,0.502284
2,29,0.506079,0.504177,0.510589
2,30,0.502371,0.49504,0.500712
2,31,0.499344,0.503445,0.498092
2,32,0.531978,0.515284,0.531722
2,33,0.499353,0.50715,0.507416
2,34,0.511612,0.498825,0.500044
2,35,0.49957,0.513418,0.500368
2,36,0.499616,0.499635,0.49846
2,37,0.506056,0.504208,0.501981
2,38,0.501888,0.501673,0.501917
2,39,0.506112,0.511082,0.49529
2,40,0.505258,0.507324,0.499456
2,41,0.488328,0.488022,0.488958
2,42,0.497922,0.49785,0.496788
2,43,0.505053,0.499495,0.497771
2,44,0.494822,0.494794,0.502037
2,45,0.491271,0.501106,0.50587
2,46,0.489181,0.486,0.493097
2,47,0.503085,0.497655,0.493876
2,48,0.503324,0.501092,0.505464
2,49,0.499267,0.503891,0.499757
2,50,0.497928,0.510516,0.504164
2,51,0.501331,0.512156,0.502084
2,52,0.508042,0.497074,0.501565
2,53,0.490722,0.509683,0.502341
2,54,0.500747,0.50358,0.500067
2,55,0.499519,0.511427,0.499244
2,56,0.502251,0.494807,0.500488
2,57,0.512677,0.509136,0.508458
2,58,0.49726,0.498442,0.501807
2,59,0.499889,0.510007,0.490407
2,60,0.498062,0.508433,0.498564
2,61,0.505193,0.505187,0.505822
2,62,0.501243,0.499206,0.503356
2,63,0.506333,0.49694,0.498184
2,64,0.502733,0.500749,0.495055
2,65,0.499712,0.496926,0.508878
2,66,0.490632,0.484694,0.494928
2,67,0.495396,0.493913,0.494022
2,68,0.497551,0.507819,0.508017
2,69,0.500151,0.48276,0.497819
2,70,0.499324,0.500619,0.497348
2,71,0.498043,0.513666,0.499319
2,72,0.491115,0.495587,0.504749
2,73,0.498829,0.500456,0.502702
2,74,0.492873,0.498396,0.50017
2,75,0.500944,0.503246,0.499627
2,76,0.498858,0.496652,0.505918
2,77,0.490202,0.510866,0.49463
2,78,0.507999,0.498316,0.50355
2,79,0.500121,0.504033,0.499356
2,80,0.493364,0.500224,0.499463
2,81,0.499972,0.49592,0.498587
2,82,0.493652,0.491937,0.503163
2,83,0.508657,0.504676,0.498812
2,84,0.499849,0.501163,0.496336
2,85,0.500488,0.49936,0.494997
2,86,0.500442,0.502523,0.495527
2,87,0.502119,0.492801,0.499973
2,88,0.505241,0.501158,0.500221
2,89,0.497362,0.491627,0.496248
2,90,0.509972,0.506417,0.500857
2,91,0.481647,0.496631,0.510028
2,92,0.498968,0.460638,0.537061
2,93,0.49989,0.500598,0.500023
2,94,0.592524,0.512024,0.522428
2,95,0.509459,0.505197,0.49705
2,96,0.502854,0.49878,0.501408
2,97,0.491711,0.504891,0.500098
2,98,0.514678,0.493219,0.497925
2,99,0.506696,0.497779,0.502857
3,0,0.500323,0.512674,0.519661
3,1,0.501087,0.491075,0.499576
3,2,0.507714,0.497427,0.501874
3,3,0.501128,0.501108,0.500643
3,4,0.507116,0.502368,0.502554
3,5,0.48256,0.537062,0.538544
3,6,0.496055,0.49454,0.499138
3,7,0.502553,0.500934,0.499954
3,8,0.497211,0.50514,0.496778
3,9,0.493696,0.486233,0.489632
3,10,0.49976,0.514818,0.495963
3,11,0.495774,0.495956,0.496913
3,12,0.497035,0.510272,0.504685
3,13,0.502295,0.497545,0.500211
3,14,0.530481,0.534364,0.512017
3,15,0.495016,0.506801,0.473775
3,16,0.49416,0.493434,0.49975
3,17,0.499794,0.496553,0.502753
3,18,0.491305,0.503416,0.500239
3,19,0.497141,0.500154,0.49771
3,20,0.495534,0.493829,0.491624
3,21,0.493041,0.496388,0.508131
3,22,0.504686,0.494467,0.501055
3,23,0.494944,0.506911,0.496009
3,24,0.488229,0.499146,0.489417
3,25,0.499726,0.492563,0.498756
